case,case_dir,logs_parsed,log_samples,field_time_samples,throat_mach_samples,final_log_time,final_deltaT,min_deltaT,max_deltaT,final_max_Courant,max_Courant,execution_time_s,final_execution_time_s,ended,final_mdot_in_kg_s,final_mdot_out_kg_s,final_mass_error_percent,final_throat_mach,steady_signal,steady_variation_percent,steady_verdict,courant_plot,mass_flow_plot,throat_mach_plot,limitation
subsonic,cases/subsonic,cases/subsonic/log.rhoCentralFoam;cases/subsonic/log.rhoCentralFoam.continue;cases/subsonic/log.rhoCentralFoam.rerun,106396,11,11,0.00599995,5.192950e-08,1.439970e-08,7.720820e-08,0.449957,0.612799,6622.1,3958.69,True,-0.0103835,0.0104557,0.690756,0.480624,outlet mass flow from written fields,4.04627,nearly steady,docs/images/subsonic_courant_history.png,docs/images/subsonic_mass_flow_history.png,docs/images/subsonic_throat_mach_history.png,Histories from fields are limited to written time directories; solver log contains many more time-step samples.
choked,cases/choked,cases/choked/log.rhoCentralFoam.run,58939,3,3,0.00199997,3.289320e-08,1.199980e-08,5.191300e-08,0.349096,0.355479,3608.93,3608.93,True,-0.0139777,0.0139388,0.277965,1.04479,outlet mass flow from written fields,0.402783,quasi-steady,docs/images/choked_courant_history.png,docs/images/choked_mass_flow_history.png,docs/images/choked_throat_mach_history.png,Histories from fields are limited to written time directories; solver log contains many more time-step samples.
internal_shock,cases/internal_shock,cases/internal_shock/log.rhoCentralFoam.run,104026,5,5,0.00199998,1.882590e-08,1.199980e-08,2.967010e-08,0.199918,0.201246,6289.63,6289.63,True,-0.0139718,0.0139359,0.256732,1.04399,outlet mass flow from written fields,0.76632,quasi-steady,docs/images/internal_shock_courant_history.png,docs/images/internal_shock_mass_flow_history.png,docs/images/internal_shock_throat_mach_history.png,Histories from fields are limited to written time directories; solver log contains many more time-step samples.
